codigo,nombre,hombre_casos,hombre_porciento,mujer_casos,mujer_porciento,total_casos,total_porciento
70|713,San Onofre,1,9.28,0,0,1,4.78
70|82,Santiago de Tolú,4,62.55,9,147.66,13,104.08
70|001,Sincelejo,58,127.82,55,125.44,113,126.65
70|823,Tolú Viejo,2,57.6,2,62.91,4,60.14
73,Tolima,120,50.87,127,56.98,247,53.84
73|124,Cajamarca,1,29.04,2,63.63,3,45.55
73|168,Chaparral,19,203.12,26,291.15,45,246.12
73|268,Espinal,8,63.96,8,67.44,16,65.65
73|275,Flandes,1,21.71,0,0,1,11.16
73|319,Guamo,0,0,1,20.47,1,10.07
73|349,Honda,5,130.89,3,87.51,8,110.38
73|001,Ibagué,74,86.45,72,87.87,146,87.15
73|411,Líbano,1,14.87,5,79.44,6,46.09
73|449,Melgar,1,16.15,3,52.6,4,33.63
73|483,Natagaima,2,57.9,0,0,2,29.89
73|555,Planadas,1,15.21,0,0,1,7.88
73|585,Purificación,0,0,1,23.64,1,11.44
73|616,Rioblanco,2,36.54,1,19.65,3,28.4
73|624,Rovira,0,0,1,25.73,1,12.66
73|671,Saldaña,2,84.1,0,0,2,43.68
73|678,San Luis,1,33.22,0,0,1,16.88
73|443,San Sebastián de Mariquita,1,19.17,4,80.45,5,49.07
73|873,Villarrica,1,115.07,0,0,1,59.45
76,Valle del Cauca,215,32,245,38.06,460,34.97
76|041,Ansermanuevo,1,31.73,1,32.83,2,32.27
76|1,Bolívar,1,45.7,1,49.48,2,47.52
76|109,Buenaventura,10,13.38,13,18.06,23,15.67
76|122,Caicedonia,1,23.75,1,25.32,2,24.51
76|001,Cali,80,23.98,94,29.11,174,26.5
76|126,Calima,1,46.82,0,0,1,23.89
76|13,Candelaria,2,18.01,3,29.01,5,23.32
76|147,Cartago,16,87.87,28,158.66,44,122.71
76|233,Dagua,2,39.12,3,61.64,5,50.1
76|243,El Águila,1,57.31,0,0,1,29.59
76|248,El Cerrito,6,76.8,2,26.54,8,52.12
76|275,Florida,0,0,2,23.07,2,11.24
76|306,Ginebra,0,0,3,114.68,3,56.78
76|318,Guacarí,3,62.31,3,64.85,6,63.55
76|111,Guadalajara de Buga,30,201.65,27,195.61,57,198.74
76|364,Jamundí,3,16.1,4,22.68,7,19.3
76|377,La Cumbre,1,62.77,0,0,1,32.81
76|4,La Unión,1,17.96,5,94.84,6,55.36
76|403,La Victoria,0,0,3,188.56,3,88.65
76|52,Palmira,29,72.97,31,82.01,60,77.37
76|563,Pradera,0,0,2,22.34,2,10.88
76|622,Roldanillo,3,64.7,3,68.67,6,66.62
76|67,San Pedro,1,37.81,0,0,1,20.12
76|736,Sevilla,1,14.57,0,0,1,7.76
76|823,Toro,1,37.13,1,39.62,2,38.34
76|834,Tuluá,5,16.64,7,24.65,12,20.53
76|869,Vijes,0,0,1,69.4,1,34.01
76|89,Yotoco,0,0,1,48.03,1,22.89
76|892,Yumbo,13,74.76,6,36.45,19,56.13
76|895,Zarzal,3,45.68,0,0,3,23.23
99,Vichada,4,23.11,3,18.17,7,20.7
99|524,La Primavera,1,28.65,0,0,1,14.67
99|001,Puerto Carreño,3,81.81,3,92.94,6,87.02
